dimension,curiosity,reflection,complexity,emotionality,characters,pace,imagination,realism,ambiguity,culture
curiosity,1.0000000000000002,-0.1958170390049921,0.22253918510431048,-0.4181240071268472,-0.3845660834726158,0.3257565765876735,0.7068120334528685,-0.5405360652226869,0.14224706944004253,-0.4162384929770503
reflection,-0.1958170390049921,0.9999999999999999,0.17780211333366636,0.25068978316709206,0.5078021778219243,-0.4641539901456615,-0.07682290001717167,0.19861573499224952,0.1265431912608587,0.32373390639436556
complexity,0.22253918510431048,0.17780211333366636,1.0,0.029472375287895012,0.11904607572500314,-0.03953615681050158,0.3430651745114875,-0.11359037176429268,0.2887806426487611,0.16767236848706848
emotionality,-0.4181240071268472,0.25068978316709206,0.029472375287895012,0.9999999999999999,0.4971329685679553,-0.4240285723329487,-0.4700506890019948,0.4579667388892667,0.018280233106937962,0.46412756088604473
characters,-0.3845660834726158,0.5078021778219243,0.11904607572500314,0.4971329685679553,1.0000000000000002,-0.2314630412453732,-0.20223499503682035,0.43354063980826363,0.04309835749031592,0.6145010955870632
pace,0.3257565765876735,-0.4641539901456615,-0.03953615681050158,-0.4240285723329487,-0.2314630412453732,1.0,0.3368076275131431,-0.31064547176727003,-0.03443671205520633,-0.229395116560672
imagination,0.7068120334528685,-0.07682290001717167,0.3430651745114875,-0.4700506890019948,-0.20223499503682035,0.3368076275131431,1.0000000000000002,-0.6402613552588756,0.16901024072486953,-0.2773881519231321
realism,-0.5405360652226869,0.19861573499224952,-0.11359037176429268,0.4579667388892667,0.43354063980826363,-0.31064547176727003,-0.6402613552588756,1.0000000000000002,0.044056372199149006,0.44999883029419807
ambiguity,0.14224706944004253,0.1265431912608587,0.2887806426487611,0.018280233106937962,0.04309835749031592,-0.03443671205520633,0.16901024072486953,0.044056372199149006,1.0000000000000002,0.06976315511296524
culture,-0.4162384929770503,0.32373390639436556,0.16767236848706848,0.46412756088604473,0.6145010955870632,-0.229395116560672,-0.2773881519231321,0.44999883029419807,0.06976315511296524,1.0000000000000002
