dimension_a,dimension_b,pearson,spearman,abs_pearson,abs_spearman,label_pearson,label_spearman
curiosity,imagination,0.7205356704002565,0.7068120334528685,0.7205356704002565,0.7068120334528685,strong,strong
imagination,realism,-0.6616440429730485,-0.6402613552588756,0.6616440429730485,0.6402613552588756,strong,strong
characters,culture,0.62005192618553,0.6145010955870632,0.62005192618553,0.6145010955870632,strong,strong
curiosity,realism,-0.5423798802222282,-0.5405360652226869,0.5423798802222282,0.5405360652226869,moderate,moderate
reflection,characters,0.5138726187046757,0.5078021778219243,0.5138726187046757,0.5078021778219243,moderate,moderate
emotionality,characters,0.4997721358200796,0.4971329685679553,0.4997721358200796,0.4971329685679553,moderate,moderate
emotionality,imagination,-0.47743658192591687,-0.4700506890019948,0.47743658192591687,0.4700506890019948,moderate,moderate
emotionality,culture,0.4730759716696244,0.46412756088604473,0.4730759716696244,0.46412756088604473,moderate,moderate
emotionality,realism,0.46835898097108675,0.4579667388892667,0.46835898097108675,0.4579667388892667,moderate,moderate
reflection,pace,-0.4642937048534401,-0.4641539901456615,0.4642937048534401,0.4641539901456615,moderate,moderate
realism,culture,0.4448661073189225,0.44999883029419807,0.4448661073189225,0.44999883029419807,moderate,moderate
characters,realism,0.4232434072401017,0.43354063980826363,0.4232434072401017,0.43354063980826363,moderate,moderate
curiosity,emotionality,-0.43043179694643274,-0.4181240071268472,0.43043179694643274,0.4181240071268472,moderate,moderate
emotionality,pace,-0.4239885328130577,-0.4240285723329487,0.4239885328130577,0.4240285723329487,moderate,moderate
curiosity,culture,-0.41426713647517266,-0.4162384929770503,0.41426713647517266,0.4162384929770503,moderate,moderate
curiosity,characters,-0.38163293479887933,-0.3845660834726158,0.38163293479887933,0.3845660834726158,weak,weak
complexity,imagination,0.36834699523782993,0.3430651745114875,0.36834699523782993,0.3430651745114875,weak,weak
pace,imagination,0.36134045920281177,0.3368076275131431,0.36134045920281177,0.3368076275131431,weak,weak
curiosity,pace,0.34901638695677584,0.3257565765876735,0.34901638695677584,0.3257565765876735,weak,weak
reflection,culture,0.3337943979205256,0.32373390639436556,0.3337943979205256,0.32373390639436556,weak,weak
pace,realism,-0.31932720654654184,-0.31064547176727003,0.31932720654654184,0.31064547176727003,weak,weak
complexity,ambiguity,0.2950079684464057,0.2887806426487611,0.2950079684464057,0.2887806426487611,weak,weak
imagination,culture,-0.2654154789433976,-0.2773881519231321,0.2654154789433976,0.2773881519231321,weak,weak
reflection,emotionality,0.25148602817304094,0.25068978316709206,0.25148602817304094,0.25068978316709206,weak,weak
curiosity,complexity,0.24259699023843595,0.22253918510431048,0.24259699023843595,0.22253918510431048,weak,weak
pace,culture,-0.23226434072666802,-0.229395116560672,0.23226434072666802,0.229395116560672,weak,weak
characters,pace,-0.22358811731252187,-0.2314630412453732,0.22358811731252187,0.2314630412453732,weak,weak
reflection,realism,0.20863343620803465,0.19861573499224952,0.20863343620803465,0.19861573499224952,weak,very weak
curiosity,reflection,-0.20791682552005192,-0.1958170390049921,0.20791682552005192,0.1958170390049921,weak,very weak
characters,imagination,-0.18710086767569342,-0.20223499503682035,0.18710086767569342,0.20223499503682035,very weak,weak
imagination,ambiguity,0.18106992431440913,0.16901024072486953,0.18106992431440913,0.16901024072486953,very weak,very weak
reflection,complexity,0.16283635785134687,0.17780211333366636,0.16283635785134687,0.17780211333366636,very weak,very weak
complexity,culture,0.17531811451759577,0.16767236848706848,0.17531811451759577,0.16767236848706848,very weak,very weak
curiosity,ambiguity,0.15055541028942385,0.14224706944004253,0.15055541028942385,0.14224706944004253,very weak,very weak
complexity,realism,-0.14615512209529413,-0.11359037176429268,0.14615512209529413,0.11359037176429268,very weak,very weak
reflection,ambiguity,0.11351558948811787,0.1265431912608587,0.11351558948811787,0.1265431912608587,very weak,very weak
complexity,characters,0.1013944128968987,0.11904607572500314,0.1013944128968987,0.11904607572500314,very weak,very weak
reflection,imagination,-0.08083672160782591,-0.07682290001717167,0.08083672160782591,0.07682290001717167,very weak,very weak
ambiguity,culture,0.06830518118113792,0.06976315511296524,0.06830518118113792,0.06976315511296524,very weak,very weak
realism,ambiguity,0.022822972900035036,0.044056372199149006,0.022822972900035036,0.044056372199149006,very weak,very weak
characters,ambiguity,0.037717242835374885,0.04309835749031592,0.037717242835374885,0.04309835749031592,very weak,very weak
complexity,pace,-0.041621968818490035,-0.03953615681050158,0.041621968818490035,0.03953615681050158,very weak,very weak
pace,ambiguity,-0.025994633268624674,-0.03443671205520633,0.025994633268624674,0.03443671205520633,very weak,very weak
complexity,emotionality,0.015318589501901772,0.029472375287895012,0.015318589501901772,0.029472375287895012,very weak,very weak
emotionality,ambiguity,-0.00944866502323991,0.018280233106937962,0.00944866502323991,0.018280233106937962,very weak,very weak
