axis,base_high_mean,base_low_mean,base_separation,base_pairwise_accuracy,base_auc,large_high_mean,large_low_mean,large_separation,large_pairwise_accuracy,large_auc
curiosity,0.0141085,0.005550666666666667,0.008557833333333332,0.7777777777777778,0.7777777777777778,0.003898833333333333,-0.02397233333333333,0.027871166666666666,1.0,1.0
reflection,0.004369666666666667,0.006572666666666667,-0.002203,0.3611111111111111,0.3611111111111111,0.009494833333333334,-0.011082166666666667,0.020577,0.9722222222222222,0.9722222222222222
complexity,-0.0006615,-0.00022183333333333332,-0.00043966666666666666,0.4166666666666667,0.4166666666666667,0.002065333333333333,-0.004182333333333333,0.006247666666666666,0.7777777777777778,0.7777777777777778
emotionality,0.0034993333333333335,0.005507833333333333,-0.0020085,0.4166666666666667,0.4166666666666667,0.0055815,-0.008888833333333334,0.014470333333333333,0.9444444444444444,0.9444444444444444
characters,0.0014919999999999998,0.0016051666666666666,-0.0001131666666666668,0.4722222222222222,0.4722222222222222,0.009819333333333333,-0.0012891666666666668,0.0111085,1.0,1.0
pace,-0.0037773333333333335,-0.00041900000000000005,-0.0033583333333333334,0.3333333333333333,0.3333333333333333,0.01409,-0.003343833333333333,0.017433833333333332,1.0,1.0
imagination,0.004091333333333333,-0.0032433333333333333,0.007334666666666666,0.7777777777777778,0.7777777777777778,-0.014679666666666667,-0.0326605,0.017980833333333335,0.9722222222222222,0.9722222222222222
realism,0.0220975,0.006711333333333333,0.015386166666666666,1.0,1.0,0.0301475,0.0011851666666666666,0.028962333333333333,1.0,1.0
ambiguity,0.011196166666666667,0.0022703333333333334,0.008925833333333334,0.8611111111111112,0.8611111111111112,-0.0023151666666666668,-0.015026833333333333,0.012711666666666666,0.9444444444444444,0.9444444444444444
culture,-0.0009183333333333335,0.006297666666666667,-0.007216,0.1111111111111111,0.1111111111111111,0.0010918333333333333,-0.007255999999999999,0.008347833333333332,0.75,0.75
