axis,pearson,spearman,base_p5,base_median,base_p95,base_std,large_p5,large_median,large_p95,large_std,mean_difference,mean_absolute_difference,max_absolute_difference
curiosity,0.5555771857434051,0.5581824230807507,-0.005965,0.006832,0.018621,0.007254001659941231,-0.022792,-0.008106,0.006728,0.00898209093006817,-0.014645520190023752,0.01476813301662708,0.036179
reflection,0.4958073439071015,0.48153576089165157,-0.004821,0.005205,0.015492,0.0061012521216374915,-0.014463,0.00232,0.017918,0.00981656802459356,-0.0032514893111638956,0.007278439429928741,0.026403
complexity,0.43998189878820443,0.4203662219832107,-0.012128,-0.002741,0.006246,0.005657309844633219,-0.021092,-0.010133,-0.000219,0.006504858881995239,-0.0075805154394299286,0.008219503562945369,0.031664
emotionality,0.457836160143824,0.4550016910128076,-0.00332,0.005714,0.013271,0.005006079455873626,-0.003596,0.007815,0.019856,0.006894265495715919,0.0025002209026128265,0.005507427553444181,0.023836
characters,0.515940746607411,0.48130076554690127,-0.005951,0.003876,0.013932,0.006234182620626406,-0.002291,0.00703,0.016298,0.005750689826810568,0.0030182375296912115,0.005341239904988124,0.018801
pace,0.4263485048284274,0.40526346302774,-0.010036,-0.002797,0.00494,0.00449641106141783,-0.009484,0.003981,0.014289,0.00732092809130776,0.0064212969121140145,0.007793672209026129,0.02398
imagination,0.6208496795227517,0.6298642437881911,-0.010023,0.002199,0.014661,0.007547088284929887,-0.034211,-0.019389,-0.004915,0.009082601816526018,-0.02144747268408551,0.02144747268408551,0.044515
realism,0.6445488077349769,0.6331832610391512,-0.002989,0.013865,0.028879,0.009719287049423006,-0.007639,0.011707,0.030368,0.011676858165258926,-0.0012974109263657958,0.0074066270783847985,0.031884
ambiguity,0.4383843302175801,0.37759012159287736,-0.003989,0.006058,0.017203,0.006553373682236718,-0.022723,-0.011205,0.00174,0.00732523449779334,-0.01734365083135392,0.017394477434679336,0.038597
culture,0.39013391760347815,0.3569336946938157,-0.00984,0.001159,0.010821,0.006429205193927024,-0.01771,-0.004566,0.006494,0.007152803541201642,-0.005727871733966746,0.007702574821852732,0.026707
